# 二简词
be	表示
slo	嗦
slu	索
slv	梭
sn	森
sp	桑
spa	颡
spi	搡
spo	嗓
spu	丧
spv	磉
sr	僧
ss	撒
ssa	洒
ssi	萨
sso	飒
ssu	脎
ssv	卅
st	算
sti	蒜
stu	狻
stv	酸
sw	孙
swi	损
swu	笋
swv	榫
sy	送
sya	淞
syi	耸
syo	宋
syu	颂
syv	松
sz	扫
sza	骚
szi	搔
szo	燥
szu	臊
szv	埽
t	他
tb	推
tba	退
tbi	蜕
tbo	褪
tbu	腿
tbv	忒
tc	条
tca	迢
tci	挑
tco	调
tcu	笤
tcv	髫
td	头
tda	贴
tdi	偷
tdu	透
tdv	餮
te	特
tei	铽
tev	忒
tf	谈
tfa	弹
tfi	探
tfo	叹
tfu	毯
tfv	坦
tg	听
tga	汀
tgi	停
tgo	庭
tgu	艇
tgv	厅
th	太
tha	台
thi	抬
tho	跆
thu	胎
thv	态
tj	图
tja	涂
tji	途
tjo	吐
tju	徒
tjv	土
tk	体
tka	涕
tki	提
tko	题
tku	逖
tkv	替
tl	托
tla	驮
tli	拖
tlo	唾
tlu	脱
tlv	椭
tm	天
tma	添
tmi	田
tmo	恬
tmu	甜
tmv	填
tp	唐
tpa	汤
tpi	堂
tpo	糖
tpu	躺
tpv	塘
tr	腾
tri	藤
tro	疼
tru	滕
ts	她
tsa	沓
tsi	挞
tso	它
tsu	獭
tsv	塔
tt	团
tta	湍
tti	抟
tto	煓
ttu	猯
tw	吞
twa	臀
twi	囤
two	暾
twu	豚
twv	屯
ty	同
tya	通
tyi	铜
tyo	痛
tyu	筒
tyv	桶
tz	陶
tza	淘
tzi	掏
tzo	讨
tzu	逃
tzv	套
w	我
wb	吹
wba	陲
wbi	锤
wbo	炊
wbu	垂
wbv	槌
wd	抽
wda	丑
wdi	仇
wdo	踌
wdu	愁
wdv	酬
we	车
wea	澈
wei	撤
weo	㬚
weu	彻
wev	坼
wf	完
wfa	湾
wfi	挽
wfo	晚
wfu	丸
wfv	万
wg	揣
wgi	搋
wgo	踹
wh	外
whi	崴
whv	歪
wj	无
wja	屋
wji	伍
wjo	误
wju	物
wjv	五
wk	吃
wka	迟
wki	持
wko	痴
wku	斥
wkv	赤
wl	握
wla	沃
wli	倭
wlo	窝
wlu	斡
wlv	卧
wm	床
wmi	创
wmo	窗
wn	问
wna	温
wni	蚊
wno	文
wnu	稳
wnv	雯
wp	望
wpa	汪
wpi	网
wpo	忘
wpu	往
wpv	王
wqo	欻
wr	翁
wra	滃
wri	蓊
wro	嗡
wru	瓮
ws	差
wsa	娃
wsi	插
wso	察
wsu	刹
wsv	查
wt	穿
wti	传
wto	喘
wtu	船
wtv	椽
ww	为
wwa	维
wwi	位
wwo	味
wwu	委
wwv	未
wx	床
wxi	创
wxo	窗
wy	冲
wya	涌
wyi	虫
wyo	充
wyu	重
wyv	舂
wz	超
wza	潮
wzi	抄
wzo	炒
wzu	朝
wzv	耖
x	而
xb	新
xbi	信
xbo	心
xbu	欣
xbv	馨
xc	小
xca	消
xci	销
xco	效
xcu	笑
xcv	校
xd	些
xda	泄
xdi	斜
xdo	写
xdu	协
xdv	欧
xe	额
xea	阿
xei	俄
xeo	呃
xeu	饿
xev	恶
xf	安
xfi	按
xfo	案
xfu	氨
xfv	鞍
xg	行
xga	姓
xgi	省
xgo	性
xgu	腥
xgv	形
xh	学
xha	隘
xhi	艾
xho	哀
xhu	爱
xhv	雪
xj	二
xja	洱
xji	铒
xjo	咡
xju	儿
xjv	耳
xk	西
xka	戏
xki	锡
xko	席
xku	系
xkv	喜
xl	哦
xla	续
xli	虚
xlo	许
xlu	须
xlv	需
xm	先
xma	线
xmi	县
xmo	显
xmu	鲜
xmv	现
xn	恩
xni	摁
xno	嗯
xp	昂
xpi	盎
xpu	肮
xq	修
xqa	绣
xqi	休
xqo	羞
xqu	秀
xqv	朽
xr	嗯
xro	唔
xs	下
xsa	阿
xsi	侠
xso	啊
xsu	狭
xsv	夏
xt	选
xta	渲
xti	悬
xto	宣
xtu	衒
xtv	璇
xw	寻
xwa	巡
xwi	薰
xwo	训
xwu	循
xwv	殉
xx	想
xxa	乡
xxi	像
xxo	响
xxu	向
xxv	相
xy	熊
xya	汹
xyi	芎
xyo	兄
xyu	胸
xyv	雄
xz	奥
xza	澳
xzi	傲
xzo	噢
xzu	翱
xzv	熬
y	一
yb	因
yba	引
ybi	银
ybo	音
ybu	印
ybv	垠
yd	有
yda	又
ydi	由
ydo	忧
ydu	犹
ydv	右
ye	也
yea	液
yei	业
yeo	夜
yeu	爷
yev	页
yf	眼
yfa	沿
yfi	岩
yfo	言
yfu	延
yfv	研
yg	应
yga	盈
ygi	英
ygo	影
ygu	迎
ygv	硬
yh	月
yha	约
yhi	钥
yho	阅
yhu	乐
yhv	越
yk	以
yka	已
yki	依
yko	亦
yku	疑
ykv	医
yl	与
yla	预
yli	余
ylo	语
ylu	鱼
ylv	于
yp	样
ypa	洋
ypi	扬
ypo	养
ypu	氧
ypv	杨
ys	压
ysa	涯
ysi	押
yso	呀
ysu	衙
ysv	牙
yt	元
yta	院
yti	园
yto	员
ytu	怨
ytv	原
yw	云
ywa	允
ywi	蕴
ywo	晕
ywu	匀
ywv	运
yy	用
yya	勇
yyi	拥
yyo	永
yyu	臃
yyv	墉
yz	要
yza	妖
yzi	药
yzo	咬
yzu	腰
yzv	瑶
z	在
zb	最
zbi	罪
zbo	嘴
zbv	醉
zd	走
zda	驺
zdi	揍
zdo	诹
zdu	邹
zdv	奏
ze	则
zea	泽
zei	择
zeo	咋
zeu	舴
zev	责
zfi	攒
zfo	咱
zfu	赞
zfv	暂
zh	再
zha	甾
zhi	仔
zho	灾
zhu	载
zj	组
zja	阻
zji	俎
zjo	足
zju	租
zjv	珇
zk	字
zka	子
zki	紫
zko	资
zku	自
zkv	梓
zl	做
zla	阼
zli	作
zlo	座
zlu	胙
zlv	左
zn	怎
zno	谮
zp	藏
zpa	赃
zpi	葬
zpu	脏
zpv	臧
zr	增
zra	赠
zri	锃
zro	曾
zru	矰
zs	咋
zsi	扎
zso	咱
zsu	杂
zsv	砸
zta	赚
zti	钻
zto	躜
ztu	纂
zw	贼
zwi	撙
zwo	尊
zwu	鳟
zwv	樽
zy	总
zya	纵
zyi	偬
zyo	宗
zyu	腙
zyv	棕
zz	早
zza	澡
zzi	藻
zzo	糟
zzu	造
zzv	遭
